"","Site","type","count"
"1","29MC101","Abajo R/O",0
"2","29MC101","Black Mesa B/W",0
"3","29MC101","Bluff B/R",0
"4","29MC101","Chaco B/W",1
"5","29MC101","Chaco Corrugated",0
"6","29MC101","Chaco McElmo B/W",0
"7","29MC101","Chaco San Jose B/W",0
"8","29MC101","Chuska B/W",0
"9","29MC101","Cortez B/W",0
"10","29MC101","Deadman's B/R",0
"11","29MC101","Degenerative Transitional B/W",7
"12","29MC101","Four-Mile Polychrome",0
"13","29MC101","Hachure A",10
"14","29MC101","Hachure B",1
"15","29MC101","Historic Polychromes",0
"16","29MC101","Holbrook B/W",0
"17","29MC101","Indeterminate B/W",0
"18","29MC101","Indeterminate Corrugated",0
"19","29MC101","Indeterminate P1-P2 B/W",7
"20","29MC101","Indeterminate P2-3 carbon trachtye",0
"21","29MC101","Indeterminate Redware",0
"22","29MC101","Indeterminate Whiteware",1
"23","29MC101","Indeterminate plain gray",1
"24","29MC101","Kana'a B/W",0
"25","29MC101","Kana'a Gray",3
"26","29MC101","Kayenta B/W",0
"27","29MC101","Kiatuthlana B/W",0
"28","29MC101","La Plata B/R",0
"29","29MC101","La Plata B/W",0
"30","29MC101","Late Pueblo utility",0
"31","29MC101","Lino Gray",1
"32","29MC101","Mancos B/W",0
"33","29MC101","Mesa Verde & proto",0
"34","29MC101","Mummy Lake Chaco",0
"35","29MC101","Navajo Polychrome",0
"36","29MC101","Navajo Utility",0
"37","29MC101","Newcomb B/W",0
"38","29MC101","Pena B/W",0
"39","29MC101","Piedro B/W",0
"40","29MC101","Puerco B/R",0
"41","29MC101","Red Mesa B/W",4
"42","29MC101","Sanostee R/O",0
"43","29MC101","Smudged Reds",0
"44","29MC101","Sosi-Dogozhi B/W",0
"45","29MC101","St. John's B/R Poly",0
"46","29MC101","Theodore B/W",0
"47","29MC101","Toadlena B/W",0
"48","29MC101","Tohatchie/Coolidge Coirrugated",5
"49","29MC101","Tusayan B/R",0
"50","29MC101","Tusayan Poly",0
"51","29MC101","Wetherill B/W",0
"52","29MC101","White Mound B/W",0
"53","29MC101","Wingate B/R",0
"54","29MC102","Abajo R/O",0
"55","29MC102","Black Mesa B/W",0
"56","29MC102","Bluff B/R",0
"57","29MC102","Chaco B/W",0
"58","29MC102","Chaco Corrugated",0
"59","29MC102","Chaco McElmo B/W",0
"60","29MC102","Chaco San Jose B/W",0
"61","29MC102","Chuska B/W",0
"62","29MC102","Cortez B/W",0
"63","29MC102","Deadman's B/R",0
"64","29MC102","Degenerative Transitional B/W",5
"65","29MC102","Four-Mile Polychrome",0
"66","29MC102","Hachure A",6
"67","29MC102","Hachure B",0
"68","29MC102","Historic Polychromes",0
"69","29MC102","Holbrook B/W",0
"70","29MC102","Indeterminate B/W",1
"71","29MC102","Indeterminate Corrugated",0
"72","29MC102","Indeterminate P1-P2 B/W",7
"73","29MC102","Indeterminate P2-3 carbon trachtye",0
"74","29MC102","Indeterminate Redware",0
"75","29MC102","Indeterminate Whiteware",2
"76","29MC102","Indeterminate plain gray",0
"77","29MC102","Kana'a B/W",0
"78","29MC102","Kana'a Gray",0
"79","29MC102","Kayenta B/W",0
"80","29MC102","Kiatuthlana B/W",0
"81","29MC102","La Plata B/R",0
"82","29MC102","La Plata B/W",0
"83","29MC102","Late Pueblo utility",0
"84","29MC102","Lino Gray",1
"85","29MC102","Mancos B/W",1
"86","29MC102","Mesa Verde & proto",0
"87","29MC102","Mummy Lake Chaco",0
"88","29MC102","Navajo Polychrome",0
"89","29MC102","Navajo Utility",0
"90","29MC102","Newcomb B/W",0
"91","29MC102","Pena B/W",0
"92","29MC102","Piedro B/W",0
"93","29MC102","Puerco B/R",0
"94","29MC102","Red Mesa B/W",3
"95","29MC102","Sanostee R/O",1
"96","29MC102","Smudged Reds",0
"97","29MC102","Sosi-Dogozhi B/W",0
"98","29MC102","St. John's B/R Poly",0
"99","29MC102","Theodore B/W",0
"100","29MC102","Toadlena B/W",0
"101","29MC102","Tohatchie/Coolidge Coirrugated",0
"102","29MC102","Tusayan B/R",0
"103","29MC102","Tusayan Poly",0
"104","29MC102","Wetherill B/W",0
"105","29MC102","White Mound B/W",1
"106","29MC102","Wingate B/R",0
"107","29MC103","Abajo R/O",0
"108","29MC103","Black Mesa B/W",0
"109","29MC103","Bluff B/R",0
"110","29MC103","Chaco B/W",0
"111","29MC103","Chaco Corrugated",0
"112","29MC103","Chaco McElmo B/W",0
"113","29MC103","Chaco San Jose B/W",0
"114","29MC103","Chuska B/W",0
"115","29MC103","Cortez B/W",0
"116","29MC103","Deadman's B/R",0
"117","29MC103","Degenerative Transitional B/W",5
"118","29MC103","Four-Mile Polychrome",0
"119","29MC103","Hachure A",7
"120","29MC103","Hachure B",5
"121","29MC103","Historic Polychromes",0
"122","29MC103","Holbrook B/W",0
"123","29MC103","Indeterminate B/W",0
"124","29MC103","Indeterminate Corrugated",1
"125","29MC103","Indeterminate P1-P2 B/W",2
"126","29MC103","Indeterminate P2-3 carbon trachtye",0
"127","29MC103","Indeterminate Redware",0
"128","29MC103","Indeterminate Whiteware",1
"129","29MC103","Indeterminate plain gray",0
"130","29MC103","Kana'a B/W",0
"131","29MC103","Kana'a Gray",0
"132","29MC103","Kayenta B/W",0
"133","29MC103","Kiatuthlana B/W",0
"134","29MC103","La Plata B/R",0
"135","29MC103","La Plata B/W",0
"136","29MC103","Late Pueblo utility",0
"137","29MC103","Lino Gray",2
"138","29MC103","Mancos B/W",0
"139","29MC103","Mesa Verde & proto",0
"140","29MC103","Mummy Lake Chaco",0
"141","29MC103","Navajo Polychrome",0
"142","29MC103","Navajo Utility",0
"143","29MC103","Newcomb B/W",0
"144","29MC103","Pena B/W",0
"145","29MC103","Piedro B/W",0
"146","29MC103","Puerco B/R",0
"147","29MC103","Red Mesa B/W",6
"148","29MC103","Sanostee R/O",0
"149","29MC103","Smudged Reds",0
"150","29MC103","Sosi-Dogozhi B/W",0
"151","29MC103","St. John's B/R Poly",0
"152","29MC103","Theodore B/W",0
"153","29MC103","Toadlena B/W",0
"154","29MC103","Tohatchie/Coolidge Coirrugated",1
"155","29MC103","Tusayan B/R",0
"156","29MC103","Tusayan Poly",0
"157","29MC103","Wetherill B/W",1
"158","29MC103","White Mound B/W",1
"159","29MC103","Wingate B/R",0
"160","29MC104","Abajo R/O",0
"161","29MC104","Black Mesa B/W",0
"162","29MC104","Bluff B/R",0
"163","29MC104","Chaco B/W",0
"164","29MC104","Chaco Corrugated",2
"165","29MC104","Chaco McElmo B/W",1
"166","29MC104","Chaco San Jose B/W",0
"167","29MC104","Chuska B/W",0
"168","29MC104","Cortez B/W",0
"169","29MC104","Deadman's B/R",0
"170","29MC104","Degenerative Transitional B/W",7
"171","29MC104","Four-Mile Polychrome",0
"172","29MC104","Hachure A",10
"173","29MC104","Hachure B",5
"174","29MC104","Historic Polychromes",0
"175","29MC104","Holbrook B/W",0
"176","29MC104","Indeterminate B/W",0
"177","29MC104","Indeterminate Corrugated",3
"178","29MC104","Indeterminate P1-P2 B/W",4
"179","29MC104","Indeterminate P2-3 carbon trachtye",0
"180","29MC104","Indeterminate Redware",0
"181","29MC104","Indeterminate Whiteware",4
"182","29MC104","Indeterminate plain gray",1
"183","29MC104","Kana'a B/W",0
"184","29MC104","Kana'a Gray",1
"185","29MC104","Kayenta B/W",0
"186","29MC104","Kiatuthlana B/W",0
"187","29MC104","La Plata B/R",0
"188","29MC104","La Plata B/W",0
"189","29MC104","Late Pueblo utility",0
"190","29MC104","Lino Gray",1
"191","29MC104","Mancos B/W",0
"192","29MC104","Mesa Verde & proto",0
"193","29MC104","Mummy Lake Chaco",0
"194","29MC104","Navajo Polychrome",0
"195","29MC104","Navajo Utility",0
"196","29MC104","Newcomb B/W",0
"197","29MC104","Pena B/W",0
"198","29MC104","Piedro B/W",0
"199","29MC104","Puerco B/R",0
"200","29MC104","Red Mesa B/W",2
"201","29MC104","Sanostee R/O",0
"202","29MC104","Smudged Reds",0
"203","29MC104","Sosi-Dogozhi B/W",0
"204","29MC104","St. John's B/R Poly",0
"205","29MC104","Theodore B/W",0
"206","29MC104","Toadlena B/W",0
"207","29MC104","Tohatchie/Coolidge Coirrugated",1
"208","29MC104","Tusayan B/R",0
"209","29MC104","Tusayan Poly",0
"210","29MC104","Wetherill B/W",0
"211","29MC104","White Mound B/W",0
"212","29MC104","Wingate B/R",1
"213","29MC105","Abajo R/O",0
"214","29MC105","Black Mesa B/W",0
"215","29MC105","Bluff B/R",0
"216","29MC105","Chaco B/W",0
"217","29MC105","Chaco Corrugated",0
"218","29MC105","Chaco McElmo B/W",0
"219","29MC105","Chaco San Jose B/W",0
"220","29MC105","Chuska B/W",0
"221","29MC105","Cortez B/W",0
"222","29MC105","Deadman's B/R",0
"223","29MC105","Degenerative Transitional B/W",1
"224","29MC105","Four-Mile Polychrome",0
"225","29MC105","Hachure A",0
"226","29MC105","Hachure B",0
"227","29MC105","Historic Polychromes",0
"228","29MC105","Holbrook B/W",0
"229","29MC105","Indeterminate B/W",0
"230","29MC105","Indeterminate Corrugated",0
"231","29MC105","Indeterminate P1-P2 B/W",1
"232","29MC105","Indeterminate P2-3 carbon trachtye",0
"233","29MC105","Indeterminate Redware",0
"234","29MC105","Indeterminate Whiteware",0
"235","29MC105","Indeterminate plain gray",0
"236","29MC105","Kana'a B/W",0
"237","29MC105","Kana'a Gray",1
"238","29MC105","Kayenta B/W",0
"239","29MC105","Kiatuthlana B/W",1
"240","29MC105","La Plata B/R",0
"241","29MC105","La Plata B/W",0
"242","29MC105","Late Pueblo utility",0
"243","29MC105","Lino Gray",5
"244","29MC105","Mancos B/W",0
"245","29MC105","Mesa Verde & proto",0
"246","29MC105","Mummy Lake Chaco",0
"247","29MC105","Navajo Polychrome",0
"248","29MC105","Navajo Utility",0
"249","29MC105","Newcomb B/W",0
"250","29MC105","Pena B/W",0
"251","29MC105","Piedro B/W",0
"252","29MC105","Puerco B/R",0
"253","29MC105","Red Mesa B/W",0
"254","29MC105","Sanostee R/O",0
"255","29MC105","Smudged Reds",0
"256","29MC105","Sosi-Dogozhi B/W",0
"257","29MC105","St. John's B/R Poly",0
"258","29MC105","Theodore B/W",0
"259","29MC105","Toadlena B/W",0
"260","29MC105","Tohatchie/Coolidge Coirrugated",0
"261","29MC105","Tusayan B/R",0
"262","29MC105","Tusayan Poly",0
"263","29MC105","Wetherill B/W",0
"264","29MC105","White Mound B/W",0
"265","29MC105","Wingate B/R",2
